,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
479,466761,Female,Yes,48,Yes,Entertainment,2.0,Low,1.0,Cat_1,A
657,467451,Female,Yes,47,Yes,Artist,0.0,Low,1.0,Cat_1,A
784,460799,Female,No,37,No,Homemaker,1.0,Low,1.0,Cat_1,D
1535,463882,Female,Yes,43,Yes,Artist,1.0,Low,1.0,Cat_1,A
2283,464016,Female,Yes,29,Yes,Entertainment,0.0,High,1.0,Cat_1,A
3805,459461,Female,Yes,39,Yes,Artist,0.0,Low,1.0,Cat_1,C
4445,464602,Female,Yes,31,Yes,Healthcare,0.0,Low,1.0,Cat_1,D
4934,459460,Male,No,55,No,Lawyer,0.0,Low,1.0,Cat_1,D
5464,466169,Male,Yes,63,Yes,Artist,1.0,Low,1.0,Cat_1,C
6002,465446,Female,No,41,Yes,Healthcare,12.0,Low,1.0,Cat_1,A
6133,463889,Female,No,29,Yes,Homemaker,12.0,Low,1.0,Cat_1,D
6183,467326,Female,No,47,Yes,Artist,0.0,Low,1.0,Cat_1,C
6608,465418,Male,No,39,Yes,Artist,0.0,Low,1.0,Cat_1,A
7074,462504,Female,No,49,No,Artist,9.0,Low,1.0,Cat_1,B
7460,462917,Male,Yes,65,No,Doctor,1.0,Low,1.0,Cat_1,D
7634,461542,Male,No,26,Yes,Artist,5.0,Low,1.0,Cat_1,B
15,460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,C
61,466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C
106,462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,D
297,460834,Male,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1,A
511,460452,Female,Yes,37,Yes,Entertainment,0.0,Average,2.0,Cat_1,B
1323,462735,Female,Yes,30,No,Artist,0.0,Average,2.0,Cat_1,B
1542,465404,Female,Yes,25,Yes,Entertainment,0.0,Average,2.0,Cat_1,A
1796,466475,Female,Yes,33,No,Artist,0.0,Low,2.0,Cat_1,B
1986,462172,Male,Yes,39,Yes,Doctor,0.0,Average,2.0,Cat_1,D
2138,459940,Female,No,46,Yes,Engineer,1.0,Low,2.0,Cat_1,B
3439,463828,Male,Yes,43,No,Engineer,0.0,Average,2.0,Cat_1,C
3528,460044,Female,Yes,47,Yes,Artist,0.0,Low,2.0,Cat_1,B
3623,465220,Male,Yes,61,No,Executive,0.0,High,2.0,Cat_1,B
3769,464276,Female,Yes,66,No,Marketing,0.0,High,2.0,Cat_1,C
3807,463318,Male,Yes,65,Yes,Lawyer,0.0,Low,2.0,Cat_1,A
3858,459226,Female,Yes,43,Yes,Artist,0.0,Average,2.0,Cat_1,C
4135,460669,Male,Yes,48,Yes,Executive,0.0,Low,2.0,Cat_1,B
4251,467887,Female,No,42,Yes,Artist,0.0,Low,2.0,Cat_1,B
4317,463177,Male,No,41,Yes,Entertainment,7.0,Low,2.0,Cat_1,D
4697,460078,Female,Yes,39,Yes,Healthcare,8.0,High,2.0,Cat_1,D
4896,467322,Female,Yes,46,Yes,Artist,0.0,Average,2.0,Cat_1,C
5117,463945,Female,No,37,No,Homemaker,0.0,Low,2.0,Cat_1,B
6044,461431,Male,Yes,42,Yes,Doctor,1.0,Average,2.0,Cat_1,C
6178,460759,Male,Yes,69,No,Lawyer,1.0,Low,2.0,Cat_1,B
